updated_at,users,statuses
2022-11-21 09:22,2,57
2022-11-21 13:51,2,57
2022-11-21 15:23,2,58
2022-11-21 18:27,2,59
2022-11-21 21:21,2,61
2022-11-22 01:59,2,63
2022-11-22 03:40,2,63
2022-11-22 06:27,2,66
2022-11-22 09:21,2,66
2022-11-22 12:43,2,66
2022-11-22 15:23,2,67
2022-11-22 18:26,2,68
2022-11-22 21:17,2,69
2022-11-23 01:46,2,71
2022-11-23 03:34,2,71
2022-11-23 06:25,2,73
2022-11-23 09:19,2,73
2022-11-23 12:40,2,73
2022-11-23 15:21,2,79
2022-11-23 18:24,2,82
2022-11-23 21:17,2,84
2022-11-24 01:49,2,85
2022-11-24 03:29,2,85
2022-11-24 06:25,2,85
2022-11-24 09:19,2,85
2022-11-24 12:40,2,85
2022-11-24 15:20,2,87
2022-11-24 18:25,2,92
2022-11-24 21:17,2,92
2022-11-25 01:46,2,92
2022-11-25 03:37,2,92
2022-11-25 06:26,2,92
2022-11-25 09:19,2,92
2022-11-25 12:39,2,92
2022-11-25 15:20,2,92
2022-11-25 18:25,2,92
2022-11-25 21:17,2,96
2022-11-26 01:41,2,99
2022-11-26 03:26,2,99
2022-11-26 06:24,2,99
2022-11-26 09:18,2,99
2022-11-26 12:35,2,99
2022-11-26 15:19,2,100
2022-11-26 18:23,2,102
2022-11-26 21:17,2,102
2022-11-27 01:51,2,106
2022-11-27 03:40,2,107
2022-11-27 06:24,2,107
2022-11-27 09:18,2,107
2022-11-27 12:35,2,107
2022-11-27 15:19,2,107
2022-11-27 18:23,2,110
2022-11-27 21:17,2,111
2022-11-28 01:44,2,111
2022-11-28 03:31,2,113
