updated_at,users,statuses
2022-11-21 07:13,94,39150
2022-11-21 09:22,94,39174
2022-11-21 13:51,94,39176
2022-11-21 15:23,94,39179
2022-11-21 18:27,94,39210
2022-11-21 21:21,94,39234
2022-11-22 01:59,94,39308
2022-11-22 03:40,94,39289
2022-11-22 06:27,94,39273
2022-11-22 09:21,94,39283
2022-11-22 12:43,94,39291
2022-11-22 15:23,94,39311
2022-11-22 18:26,94,39355
2022-11-22 21:17,94,39375
2022-11-23 01:46,95,39443
2022-11-23 03:34,95,39450
2022-11-23 06:25,95,39460
2022-11-23 09:19,95,39481
2022-11-23 12:40,96,39500
2022-11-23 15:21,96,39537
2022-11-23 18:24,96,39565
2022-11-23 21:17,96,39609
2022-11-24 01:49,96,39655
2022-11-24 03:29,96,39654
2022-11-24 06:25,96,39655
2022-11-24 09:19,97,39665
2022-11-24 12:40,97,39676
2022-11-24 15:20,97,39680
2022-11-24 18:25,97,39700
2022-11-24 21:17,97,39704
2022-11-25 01:46,97,39733
2022-11-25 03:37,97,39747
2022-11-25 06:26,97,39747
2022-11-25 09:19,97,39762
2022-11-25 12:39,97,39793
2022-11-25 15:20,97,39805
2022-11-25 18:25,97,39815
2022-11-25 21:17,97,39826
2022-11-26 01:41,97,39882
2022-11-26 03:26,97,39882
2022-11-26 06:24,97,39881
2022-11-26 09:18,97,39848
2022-11-26 12:35,97,39865
2022-11-26 15:19,97,39880
2022-11-26 18:23,97,39910
2022-11-26 21:17,97,39925
2022-11-27 01:51,97,39956
2022-11-27 03:40,97,39963
2022-11-27 06:24,97,39946
2022-11-27 09:18,97,39953
2022-11-27 12:35,97,39976
2022-11-27 15:19,97,40013
2022-11-27 18:23,97,40068
2022-11-27 21:17,97,40098
2022-11-28 01:44,97,40113
2022-11-28 03:31,97,40110
2022-11-28 06:26,97,40095
2022-11-28 09:20,97,40098
2022-11-28 12:38,97,40110
2022-11-28 15:18,97,40114
2022-11-28 18:25,98,40136
2022-11-28 21:18,98,40157
2022-11-29 01:44,98,40194
2022-11-29 03:30,98,40192
2022-11-29 06:26,98,40191
2022-11-29 09:19,98,40193
2022-11-29 12:39,98,40199
2022-11-29 15:21,98,40225
2022-11-29 18:23,98,40247
2022-11-29 21:18,98,40283
2022-11-30 01:45,98,39213
2022-11-30 03:27,98,39215
2022-11-30 06:25,98,39226
2022-11-30 09:20,98,39232
2022-11-30 12:41,98,39248
2022-11-30 15:22,98,39255
2022-11-30 18:25,98,39271
2022-11-30 21:18,98,39276
2022-12-01 01:56,98,39265
2022-12-01 03:38,98,39264
2022-12-01 06:26,98,39274
2022-12-01 09:20,98,39283
2022-12-01 12:42,98,39297
2022-12-01 15:21,98,39307
2022-12-01 18:25,98,39341
2022-12-01 21:15,98,39360
2022-12-02 01:37,98,39376
2022-12-02 03:24,98,39374
2022-12-02 06:24,98,39366
2022-12-02 09:18,98,39372
2022-12-02 12:35,98,39378
