updated_at,users,statuses
2022-11-04 10:13,66,25174
2022-11-04 13:09,66,25243
2022-11-04 15:25,66,25246
2022-11-04 18:28,66,25273
2022-11-04 21:19,66,25297
2022-11-05 02:03,66,25290
2022-11-05 03:49,66,25271
2022-11-05 06:27,66,25261
2022-11-05 09:21,66,25263
2022-11-05 12:38,66,25282
2022-11-05 15:21,66,25302
2022-11-05 18:26,66,25308
2022-11-05 21:18,66,25300
2022-11-06 02:06,66,25301
2022-11-06 03:50,66,25300
2022-11-06 06:27,66,25291
2022-11-06 09:22,66,25302
2022-11-06 12:40,66,25322
2022-11-06 15:24,66,25321
2022-11-06 18:26,66,25334
2022-11-06 21:19,66,25337
2022-11-07 02:00,66,25314
2022-11-07 04:00,66,25302
2022-11-07 06:28,66,25296
2022-11-07 09:22,66,25286
2022-11-07 12:50,67,25308
2022-11-07 15:24,68,25326
2022-11-07 18:27,68,25349
2022-11-07 21:22,68,25394
2022-11-08 02:00,68,25415
2022-11-08 04:00,68,25409
2022-11-08 06:30,68,25410
2022-11-08 09:23,68,25430
2022-11-08 12:51,68,25467
2022-11-08 15:24,68,25492
2022-11-08 18:32,68,25503
2022-11-08 21:20,68,25505
2022-11-09 02:11,68,25503
2022-11-09 04:03,68,25502
2022-11-09 06:35,68,25502
2022-11-09 09:22,68,25514
2022-11-09 12:52,68,25547
2022-11-09 15:25,68,25606
2022-11-09 18:27,68,25636
2022-11-09 21:23,68,25645
2022-11-10 02:04,68,25648
2022-11-10 03:56,68,25647
2022-11-10 06:28,68,25644
2022-11-10 09:23,68,25651
2022-11-10 12:52,68,25676
2022-11-10 15:23,68,25738
2022-11-10 18:28,68,25799
2022-11-10 21:21,68,25828
2022-11-11 02:04,68,25836
2022-11-11 03:56,68,25832
2022-11-11 06:32,68,25835
2022-11-11 09:22,68,25879
2022-11-11 12:51,68,25938
2022-11-11 15:25,68,25961
2022-11-11 18:29,68,25993
2022-11-11 21:20,68,26023
2022-11-12 01:59,68,26013
2022-11-12 03:54,68,26009
2022-11-12 06:27,68,26019
2022-11-12 09:21,68,26039
2022-11-12 12:39,68,26086
2022-11-12 15:23,68,26103
2022-11-12 18:26,68,26125
2022-11-12 21:19,68,26147
2022-11-13 01:59,68,26151
2022-11-13 03:55,68,26129
2022-11-13 06:27,68,26126
2022-11-13 09:21,68,26135
2022-11-13 12:41,68,26164
2022-11-13 15:22,68,26176
2022-11-13 18:26,68,26213
2022-11-13 21:19,68,26235
2022-11-14 01:58,68,26260
2022-11-14 03:58,68,26259
2022-11-14 06:29,68,26258
2022-11-14 09:23,68,26321
2022-11-14 12:53,68,26416
2022-11-14 15:25,68,26493
2022-11-14 18:27,68,26526
2022-11-14 21:21,68,26551
2022-11-15 01:56,68,26564
2022-11-15 03:47,68,26563
2022-11-15 06:26,68,26562
