updated_at,users,statuses
2022-11-05 03:49,2,46
2022-11-05 06:27,2,46
2022-11-05 09:21,2,46
2022-11-05 12:38,2,54
2022-11-05 15:21,2,55
2022-11-05 18:26,2,57
2022-11-05 21:18,2,57
2022-11-06 02:06,2,65
2022-11-06 03:50,2,65
2022-11-06 06:27,2,65
2022-11-06 09:22,2,65
2022-11-06 12:40,2,74
2022-11-06 15:24,2,78
2022-11-06 18:26,2,81
2022-11-06 21:19,2,82
2022-11-07 02:00,2,84
2022-11-07 04:00,2,84
2022-11-07 06:28,2,84
2022-11-07 09:22,2,84
2022-11-07 12:50,2,84
2022-11-07 15:24,2,84
2022-11-07 18:27,2,84
2022-11-07 21:22,2,84
2022-11-08 02:00,2,89
2022-11-08 04:00,2,89
2022-11-08 06:30,2,89
2022-11-08 09:23,2,89
2022-11-08 12:51,2,92
2022-11-08 15:24,2,92
2022-11-08 18:32,2,98
2022-11-08 21:20,2,102
2022-11-09 02:11,2,105
2022-11-09 04:03,2,105
2022-11-09 06:35,2,107
2022-11-09 09:22,2,107
