updated_at,users,statuses
2022-11-04 10:13,59,52
2022-11-04 13:09,74,66
2022-11-04 15:25,88,108
2022-11-04 18:28,113,121
2022-11-04 21:19,151,159
2022-11-05 02:03,468,363
2022-11-05 03:49,553,412
2022-11-05 06:27,670,518
2022-11-05 09:21,865,674
2022-11-05 12:38,3180,1760
2022-11-05 15:21,5622,3235
2022-11-05 18:26,9084,5800
2022-11-05 21:18,10710,8777
2022-11-06 02:06,10768,11495
2022-11-06 03:50,10773,12125
2022-11-06 06:27,10771,12755
2022-11-06 09:22,10770,13347
2022-11-06 12:40,10774,14686
2022-11-06 15:24,10768,16424
2022-11-06 18:26,11205,18813
2022-11-06 21:19,11913,21141
2022-11-07 02:00,12855,24739
2022-11-07 04:00,13061,26013
2022-11-07 06:28,13307,27190
2022-11-07 09:22,13880,28487
2022-11-07 12:50,14268,30075
2022-11-07 15:24,14461,31971
2022-11-07 18:27,14686,34047
2022-11-07 21:22,14895,36490
2022-11-08 02:00,15110,39326
2022-11-08 04:00,15175,40162
2022-11-08 06:30,15218,40895
2022-11-08 09:23,15217,41786
2022-11-08 12:51,15224,43352
2022-11-08 15:24,15233,44907
2022-11-08 18:32,15231,47163
2022-11-08 21:20,15235,49146
2022-11-09 02:11,15234,52361
2022-11-09 04:03,15236,52879
2022-11-09 06:35,15234,53578
2022-11-09 09:22,15232,54572
2022-11-09 12:52,15231,56216
2022-11-09 15:25,15229,57482
2022-11-09 18:27,15228,59269
2022-11-09 21:23,15229,61191
2022-11-10 02:04,15227,63631
2022-11-10 03:56,15226,64163
2022-11-10 06:28,15226,64560
2022-11-10 09:23,15224,65572
2022-11-10 12:52,15221,67167
2022-11-10 15:23,15219,68294
2022-11-10 18:28,15227,70042
2022-11-10 21:21,15269,71562
2022-11-11 02:04,15372,74046
2022-11-11 03:56,15392,74786
2022-11-11 06:32,15420,75378
2022-11-11 09:22,15545,76352
2022-11-11 12:51,15771,77835
2022-11-11 15:25,15817,79419
2022-11-11 18:29,15814,81172
2022-11-11 21:20,15812,82882
2022-11-12 01:59,15811,85055
2022-11-12 03:54,15810,85567
2022-11-12 06:27,15810,86047
2022-11-12 09:21,15809,86891
2022-11-12 12:39,15806,88238
2022-11-12 15:23,15804,89677
2022-11-12 18:26,15803,91516
2022-11-12 21:19,15800,93281
2022-11-13 01:59,15798,95340
2022-11-13 03:55,15798,95895
2022-11-13 06:27,15797,96532
2022-11-13 09:21,15821,97256
2022-11-13 12:41,15890,98641
2022-11-13 15:22,15933,100040
2022-11-13 18:26,15977,101903
2022-11-13 21:19,16060,103769
2022-11-14 01:58,16197,105605
2022-11-14 03:58,16235,106126
2022-11-14 06:29,16304,106591
2022-11-14 09:23,16391,107466
2022-11-14 12:53,16506,108610
2022-11-14 15:25,16600,109584
2022-11-14 18:27,16703,110924
2022-11-14 21:21,16810,112390
2022-11-15 01:56,16913,114325
2022-11-15 03:47,16961,114909
2022-11-15 06:26,17006,115470
2022-11-15 09:21,17071,116490
2022-11-15 12:44,17162,117707
2022-11-15 15:23,17238,118865
2022-11-15 18:27,17332,120398
2022-11-15 21:19,17418,121902
2022-11-16 01:57,17506,123585
2022-11-16 03:48,17534,124209
2022-11-16 06:26,17565,124719
2022-11-16 09:21,17608,125297
2022-11-16 12:43,17657,126320
2022-11-16 15:22,17682,127209
2022-11-16 18:26,17733,128426
2022-11-16 21:18,17780,129522
2022-11-17 01:56,17834,131288
2022-11-17 03:43,17849,131749
2022-11-17 06:27,17868,132189
2022-11-17 09:21,17891,132819
2022-11-17 12:45,17917,133771
2022-11-17 15:22,17943,134799
2022-11-17 18:26,17965,135862
2022-11-17 21:18,17993,136984
2022-11-18 02:01,18141,138830
2022-11-18 03:43,18465,139599
2022-11-18 06:27,19096,140835
2022-11-18 09:21,19841,142508
2022-11-18 12:40,20972,144812
2022-11-18 15:22,22108,147659
2022-11-18 18:28,22382,150002
2022-11-18 21:18,22389,153753
2022-11-19 01:53,22390,156552
2022-11-19 03:41,22390,157167
2022-11-19 06:26,22395,158054
2022-11-19 09:19,22390,159166
2022-11-19 12:37,22438,161563
2022-11-19 15:21,22437,163232
2022-11-19 18:25,22438,165566
2022-11-19 21:18,22436,167489
2022-11-20 02:01,22432,169910
2022-11-20 03:46,22431,170901
2022-11-20 06:26,22429,171970
2022-11-20 09:19,22423,173078
2022-11-20 12:38,22430,175126
2022-11-20 15:20,22430,177088
2022-11-20 18:25,22432,179723
2022-11-20 21:18,22435,182323
2022-11-21 01:57,22434,185065
2022-11-21 07:13,22433,186621
2022-11-21 09:22,22432,187507
2022-11-21 13:51,22427,189315
2022-11-21 15:23,22424,189959
2022-11-21 18:27,22421,191823
2022-11-21 21:21,22415,194163
2022-11-22 01:59,22415,196360
2022-11-22 03:40,22414,197000
2022-11-22 06:27,22411,197561
2022-11-22 09:21,22409,198407
2022-11-22 12:43,22409,199594
2022-11-22 15:23,22410,201323
2022-11-22 18:26,22409,203111
2022-11-22 21:17,22409,204296
2022-11-23 01:46,22409,206470
2022-11-23 03:34,22407,207253
2022-11-23 06:25,22406,208164
2022-11-23 09:19,22407,208732
2022-11-23 12:40,22408,209638
2022-11-23 15:21,22407,211094
2022-11-23 18:24,22407,212286
2022-11-23 21:17,22405,213981
2022-11-24 01:49,22403,215687
2022-11-24 03:29,22403,216242
2022-11-24 06:25,22403,217060
2022-11-24 09:19,22401,217651
2022-11-24 12:40,22402,218536
2022-11-24 15:20,22441,219938
2022-11-24 18:25,22522,221638
2022-11-24 21:17,22574,222737
2022-11-25 01:46,22663,224610
2022-11-25 03:37,22705,225157
2022-11-25 06:26,22743,225829
2022-11-25 09:19,22775,226318
2022-11-25 12:39,22826,227129
2022-11-25 15:20,22864,228549
2022-11-25 18:25,22932,230457
2022-11-25 21:17,22988,231484
2022-11-26 01:41,23037,233158
2022-11-26 03:26,23060,233601
2022-11-26 06:24,23097,234294
2022-11-26 09:18,23121,234644
2022-11-26 12:35,23168,235870
2022-11-26 15:19,23194,236561
2022-11-26 18:23,23262,238322
2022-11-26 21:17,23289,239525
2022-11-27 01:51,23361,241679
2022-11-27 03:40,23370,242022
2022-11-27 06:24,23394,242547
2022-11-27 09:18,23431,243275
2022-11-27 12:35,23476,244344
2022-11-27 15:19,23506,245145
2022-11-27 18:23,23560,246916
2022-11-27 21:17,23606,248749
2022-11-28 01:44,23661,250361
2022-11-28 03:31,23687,250994
2022-11-28 06:26,23711,251383
2022-11-28 09:20,23740,252116
2022-11-28 12:38,23766,252923
2022-11-28 15:18,23790,253579
2022-11-28 21:18,23865,256047
2022-11-29 01:44,23914,257695
2022-11-29 03:30,23924,258239
2022-11-29 06:26,23938,258867
2022-11-29 09:19,23955,259363
2022-11-29 12:39,23977,260267
2022-11-29 15:21,24003,261525
2022-11-29 18:23,24036,262946
2022-11-29 21:18,24059,263848
2022-11-30 01:45,24100,265664
2022-11-30 03:27,24118,266319
2022-11-30 06:25,24150,267082
2022-11-30 09:20,24160,267515
2022-11-30 12:41,24187,268239
2022-11-30 15:22,24213,269129
2022-11-30 18:25,24240,270400
2022-11-30 21:18,24267,271324
2022-12-01 01:56,24306,273310
2022-12-01 03:38,24313,273623
2022-12-01 06:26,24339,274276
2022-12-01 09:20,24355,274872
2022-12-01 12:42,24372,275642
2022-12-01 15:21,24393,276764
2022-12-01 18:25,24421,278138
2022-12-01 21:15,24433,279189
2022-12-02 01:37,24457,280820
2022-12-02 03:24,24475,281341
2022-12-02 06:24,24491,281753
2022-12-02 09:18,24512,282477
2022-12-02 12:35,24530,283262
2022-12-02 15:17,24557,284182
2022-12-02 18:22,24564,285190
2022-12-02 21:16,24580,286475
2022-12-03 01:27,24601,288129
2022-12-03 03:20,24609,288611
2022-12-03 06:22,24617,289149
2022-12-03 09:17,24627,289647
2022-12-03 12:33,24642,290551
2022-12-03 15:18,24667,291820
2022-12-03 18:22,24678,292833
2022-12-03 21:15,24689,294292
2022-12-04 01:39,24704,295612
2022-12-04 03:20,24708,296242
2022-12-04 06:22,24718,296786
2022-12-04 09:17,24731,297150
2022-12-04 12:35,24743,297885
2022-12-04 15:18,24753,298641
2022-12-04 18:27,24769,300227
2022-12-04 21:16,24772,300935
2022-12-05 01:38,24790,302370
2022-12-05 03:20,24802,303336
2022-12-05 06:24,24812,303681
2022-12-05 09:19,24819,303906
2022-12-05 12:37,24827,304701
2022-12-05 15:20,24834,305315
2022-12-05 18:23,24845,306188
2022-12-05 21:17,24860,307448
2022-12-06 01:35,24878,308923
2022-12-06 03:41,24886,309466
2022-12-06 06:24,24897,309884
2022-12-06 09:18,24904,310409
2022-12-06 12:38,24914,311052
2022-12-06 15:20,24922,311670
2022-12-06 18:38,24944,313307
2022-12-06 21:16,24961,314054
2022-12-07 01:41,24991,314105
2022-12-07 03:24,25001,314646
2022-12-07 09:18,25023,315692
2022-12-07 12:36,25035,316323
2022-12-07 15:20,25045,316919
2022-12-07 18:24,25064,318040
2022-12-07 21:17,25081,319096
2022-12-08 01:37,25095,320381
2022-12-08 03:21,25101,320623
2022-12-08 06:25,25109,321146
2022-12-08 09:18,25122,321569
2022-12-08 12:36,25130,322175
2022-12-08 15:19,25151,323248
2022-12-08 18:23,25157,323874
2022-12-08 21:17,25182,324919
2022-12-09 01:40,25208,326144
2022-12-09 03:22,25212,326569
2022-12-09 06:23,25217,326898
2022-12-09 09:18,25227,327313
2022-12-09 12:35,25234,327945
2022-12-09 15:18,25242,328932
2022-12-09 18:45,25255,330030
2022-12-09 21:17,25264,330684
2022-12-10 01:34,25278,331891
2022-12-10 03:20,25284,332280
2022-12-10 06:23,25291,332810
2022-12-10 09:17,25297,333091
2022-12-10 12:33,25307,333793
2022-12-10 15:18,25322,334739
2022-12-10 18:22,25328,335495
2022-12-10 21:31,25335,336484
2022-12-11 01:44,25352,337483
2022-12-11 03:24,25355,337814
2022-12-11 06:23,25360,338152
2022-12-11 09:17,25366,338481
2022-12-11 12:34,25373,337992
2022-12-11 15:19,25381,338808
2022-12-11 19:14,25391,339915
2022-12-11 21:16,25398,340643
2022-12-12 01:40,25414,341798
2022-12-12 03:24,25422,342244
2022-12-12 06:24,25434,342770
2022-12-12 09:19,25440,343194
