updated_at,users,statuses
2022-11-08 21:20,1,6
2022-11-09 02:11,1,7
2022-11-09 04:03,1,8
2022-11-09 06:35,1,9
2022-11-09 09:22,2,9
2022-11-09 12:52,2,9
2022-11-09 15:25,2,9
2022-11-09 18:27,2,9
2022-11-09 21:23,2,9
2022-11-10 02:04,2,10
2022-11-10 03:56,2,13
2022-11-10 06:28,2,13
2022-11-10 09:23,3,14
2022-11-10 12:52,3,14
2022-11-10 15:23,3,14
2022-11-10 18:28,5,17
2022-11-10 21:21,7,36
2022-11-11 02:04,8,71
2022-11-11 03:56,8,74
2022-11-11 06:32,8,80
2022-11-11 09:22,8,80
2022-11-11 12:51,8,83
2022-11-11 15:25,8,86
2022-11-11 18:29,9,87
2022-11-11 21:20,10,95
2022-11-12 01:59,11,95
2022-11-12 03:54,11,97
2022-11-12 06:27,12,102
2022-11-12 09:21,12,103
2022-11-12 12:39,12,103
2022-11-12 15:23,13,103
2022-11-12 18:26,15,105
2022-11-12 21:19,15,107
2022-11-13 01:59,16,115
2022-11-13 03:55,16,118
2022-11-13 06:27,16,122
2022-11-13 09:21,16,122
2022-11-13 12:41,16,124
2022-11-13 15:22,17,127
2022-11-13 18:26,17,143
2022-11-13 21:19,17,154
2022-11-14 01:58,17,160
2022-11-14 03:58,17,166
2022-11-14 06:29,18,166
2022-11-14 09:23,18,174
2022-11-14 12:53,18,175
2022-11-14 15:25,18,180
2022-11-14 18:27,18,186
2022-11-14 21:21,18,200
2022-11-15 01:56,18,226
