updated_at,users,statuses
2022-11-04 10:13,1,68237
2022-11-04 13:09,1,68244
2022-11-04 15:25,1,68303
2022-11-04 18:28,1,68370
2022-11-04 21:19,1,68382
2022-11-05 02:03,1,68382
2022-11-05 03:49,1,68385
2022-11-05 06:27,1,68389
2022-11-05 09:21,1,68420
2022-11-05 12:38,1,68428
2022-11-05 15:21,1,68465
2022-11-05 18:26,1,68465
2022-11-05 21:18,1,68465
2022-11-06 02:06,1,68482
2022-11-06 03:50,1,68488
2022-11-06 06:27,1,68491
2022-11-06 09:22,1,68491
2022-11-06 12:40,1,68496
2022-11-06 15:24,1,68504
2022-11-06 18:26,1,68511
2022-11-06 21:19,1,68511
2022-11-07 02:00,1,68514
2022-11-07 04:00,1,68517
2022-11-07 06:28,1,68517
2022-11-07 09:22,1,68531
2022-11-07 12:50,1,68536
2022-11-07 15:24,1,68546
2022-11-07 18:27,1,68546
2022-11-07 21:22,1,68546
2022-11-08 02:00,1,68546
2022-11-08 04:00,1,68546
2022-11-08 06:30,1,68552
2022-11-08 09:23,1,68552
2022-11-08 12:51,1,68564
2022-11-08 15:24,1,68599
2022-11-08 18:32,1,68615
2022-11-08 21:20,1,68615
2022-11-09 02:11,1,68619
2022-11-09 04:03,1,68642
2022-11-09 06:35,1,68682
2022-11-09 09:22,1,68689
2022-11-09 12:52,1,68736
2022-11-09 15:25,1,68766
2022-11-09 18:27,1,68776
2022-11-09 21:23,1,68777
2022-11-10 02:04,1,68778
2022-11-10 03:56,1,68779
2022-11-10 06:28,1,68781
2022-11-10 09:23,1,68788
2022-11-10 12:52,1,68805
2022-11-10 15:23,1,68809
2022-11-10 18:28,1,68818
2022-11-10 21:21,1,68825
2022-11-11 02:04,1,68828
2022-11-11 03:56,1,68828
2022-11-11 06:32,1,68831
2022-11-11 09:22,1,68831
2022-11-11 12:51,1,68839
2022-11-11 15:25,1,68841
2022-11-11 18:29,1,68841
2022-11-11 21:20,1,68841
2022-11-12 01:59,1,68845
2022-11-12 03:54,1,68852
2022-11-12 06:27,1,68863
2022-11-12 09:21,1,68882
2022-11-12 12:39,1,68893
2022-11-12 15:23,1,68893
2022-11-12 18:26,1,68893
2022-11-12 21:19,1,68893
2022-11-13 01:59,1,68896
2022-11-13 03:55,1,68894
2022-11-13 06:27,1,68896
2022-11-13 09:21,1,68897
2022-11-13 12:41,1,68900
2022-11-13 15:22,1,68925
2022-11-13 18:26,1,68925
2022-11-13 21:19,1,68925
2022-11-14 01:58,1,68936
2022-11-14 03:58,1,68949
2022-11-14 06:29,1,68952
2022-11-14 09:23,1,68955
2022-11-14 12:53,1,68957
2022-11-14 15:25,1,68966
2022-11-14 18:27,1,68966
2022-11-14 21:21,1,68966
2022-11-15 01:56,1,68978
2022-11-15 03:47,1,69009
2022-11-15 06:26,1,69044
2022-11-15 09:21,1,69049
2022-11-15 12:44,1,69102
2022-11-15 15:23,1,69145
2022-11-15 18:27,1,69152
2022-11-15 21:19,1,69152
2022-11-16 01:57,1,69156
2022-11-16 03:48,1,69159
2022-11-16 06:26,1,69176
2022-11-16 09:21,1,69178
2022-11-16 12:43,1,69187
2022-11-16 15:22,1,69215
2022-11-16 18:26,1,69217
2022-11-16 21:18,1,69217
2022-11-17 01:56,1,69221
2022-11-17 03:43,1,69233
2022-11-17 06:27,1,69244
2022-11-17 09:21,1,69248
2022-11-17 12:45,1,69248
2022-11-17 15:22,1,69249
2022-11-17 18:26,1,69251
2022-11-17 21:18,1,69251
2022-11-18 02:01,1,69254
2022-11-18 03:43,1,69257
2022-11-18 06:27,1,69267
2022-11-18 09:21,1,69267
2022-11-18 12:40,1,69302
2022-11-18 15:22,1,69351
2022-11-18 18:28,1,69351
2022-11-18 21:18,1,69351
2022-11-19 01:53,1,69366
2022-11-19 03:41,1,69380
2022-11-19 06:26,1,69419
2022-11-19 09:19,1,69426
2022-11-19 12:37,1,69455
2022-11-19 15:21,1,69456
2022-11-19 18:25,1,69456
2022-11-19 21:18,1,69456
2022-11-20 02:01,1,69456
2022-11-20 03:46,1,69456
2022-11-20 06:26,1,69474
2022-11-20 09:19,1,69464
2022-11-20 12:38,1,69461
2022-11-20 15:20,1,69462
2022-11-20 18:25,1,69467
2022-11-20 21:18,1,69467
2022-11-21 01:57,1,69464
2022-11-21 07:13,1,69468
2022-11-21 09:22,1,69472
2022-11-21 13:51,1,69474
2022-11-21 15:23,1,69478
2022-11-21 18:27,1,69478
2022-11-21 21:21,1,69478
2022-11-22 01:59,1,69480
2022-11-22 03:40,1,69480
2022-11-22 06:27,1,69486
2022-11-22 09:21,1,69488
2022-11-22 12:43,1,69502
2022-11-22 15:23,1,69540
2022-11-22 18:26,1,69556
2022-11-22 21:17,1,69558
2022-11-23 01:46,1,69558
2022-11-23 03:34,1,69561
2022-11-23 06:25,1,69564
2022-11-23 09:19,1,69564
2022-11-23 12:40,1,69563
2022-11-23 15:21,1,69566
2022-11-23 18:24,1,69572
2022-11-23 21:17,1,69572
2022-11-24 01:49,1,69571
2022-11-24 03:29,1,69575
2022-11-24 06:25,1,69576
2022-11-24 09:19,1,69577
2022-11-24 12:40,1,69582
2022-11-24 15:20,1,69589
2022-11-24 18:25,1,69592
2022-11-24 21:17,1,69592
