updated_at,users,statuses
2022-11-21 09:22,2,159
2022-11-21 13:51,2,167
2022-11-21 15:23,2,167
2022-11-21 18:27,2,175
2022-11-21 21:21,2,176
2022-11-22 01:59,2,178
2022-11-22 03:40,2,181
2022-11-22 06:27,2,182
2022-11-22 09:21,2,182
2022-11-22 12:43,2,189
2022-11-22 15:23,2,189
2022-11-22 18:26,2,191
2022-11-22 21:17,2,192
2022-11-23 01:46,2,193
2022-11-23 03:34,2,195
2022-11-23 06:25,2,195
2022-11-23 09:19,2,195
2022-11-23 12:40,2,199
2022-11-23 15:21,2,199
2022-11-23 18:24,2,199
2022-11-23 21:17,2,203
2022-11-24 01:49,2,216
2022-11-24 03:29,2,217
2022-11-24 06:25,2,220
2022-11-24 09:19,2,220
2022-11-24 12:40,2,220
2022-11-24 15:20,2,220
2022-11-24 18:25,2,221
2022-11-24 21:17,2,231
2022-11-25 01:46,2,244
2022-11-25 03:37,2,244
2022-11-25 06:26,2,244
2022-11-25 09:19,2,244
2022-11-25 12:39,2,244
2022-11-25 15:20,2,246
2022-11-25 18:25,2,246
2022-11-25 21:17,2,246
2022-11-26 01:41,2,246
2022-11-26 03:26,2,250
2022-11-26 06:24,2,250
2022-11-26 09:18,2,250
2022-11-26 12:35,2,250
2022-11-26 15:19,2,251
2022-11-26 18:23,2,252
2022-11-26 21:17,2,252
2022-11-27 01:51,2,253
2022-11-27 03:40,2,253
2022-11-27 06:24,2,253
2022-11-27 09:18,2,253
2022-11-27 12:35,2,253
2022-11-27 15:19,2,253
2022-11-27 18:23,2,253
2022-11-27 21:17,2,253
2022-11-28 01:44,2,253
2022-11-28 03:31,2,253
2022-11-28 06:26,2,253
2022-11-28 09:20,2,253
2022-11-28 12:38,2,253
2022-11-28 15:18,2,253
2022-11-28 18:25,2,253
2022-11-28 21:18,2,253
2022-11-29 01:44,2,253
2022-11-29 03:30,2,253
2022-11-29 06:26,2,253
2022-11-29 09:19,2,253
2022-11-29 12:39,2,253
2022-11-29 15:21,2,253
2022-11-29 18:23,2,253
2022-11-29 21:18,2,253
2022-11-30 01:45,2,253
2022-11-30 03:27,2,253
2022-11-30 06:25,2,253
2022-11-30 09:20,2,253
2022-11-30 12:41,2,253
2022-11-30 15:22,2,253
2022-11-30 18:25,2,253
2022-11-30 21:18,2,253
2022-12-01 01:56,2,253
