updated_at,users,statuses
2022-11-23 15:21,4,13
2022-11-23 18:24,8,21
2022-11-23 21:17,13,35
2022-11-24 01:49,17,56
2022-11-24 03:29,17,56
2022-11-24 06:25,17,56
2022-11-24 09:19,25,79
2022-11-24 12:40,33,95
2022-11-24 15:20,34,107
2022-11-24 18:25,34,121
2022-11-24 21:17,36,127
2022-11-25 01:46,37,150
2022-11-25 03:37,37,150
2022-11-25 06:26,37,150
2022-11-25 09:19,38,167
2022-11-25 12:39,41,185
2022-11-25 15:20,41,200
2022-11-25 18:25,42,220
2022-11-25 21:17,42,230
2022-11-26 01:41,42,236
2022-11-26 03:26,42,236
2022-11-26 06:24,42,236
2022-11-26 09:18,42,236
2022-11-26 12:35,44,239
2022-11-26 15:19,44,244
2022-11-26 18:23,44,246
2022-11-26 21:17,44,255
2022-11-27 01:51,44,258
2022-11-27 03:40,44,258
2022-11-27 06:24,44,259
2022-11-27 09:18,44,261
2022-11-27 12:35,44,266
2022-11-27 15:19,44,279
2022-11-27 18:23,44,281
2022-11-27 21:17,44,282
2022-11-28 01:44,44,285
2022-11-28 03:31,44,285
2022-11-28 06:26,44,285
2022-11-28 09:20,44,287
2022-11-28 12:38,45,291
2022-11-28 15:18,46,313
2022-11-28 18:25,47,326
2022-11-28 21:18,47,336
2022-11-29 01:44,47,347
2022-11-29 03:30,47,347
2022-11-29 06:26,47,347
2022-11-29 09:19,47,358
2022-11-29 12:39,47,359
2022-11-29 15:21,47,367
2022-11-29 18:23,48,386
2022-11-29 21:18,48,391
2022-11-30 01:45,49,403
2022-11-30 03:27,49,403
2022-11-30 06:25,49,403
2022-11-30 09:20,49,412
2022-11-30 12:41,55,414
2022-11-30 15:22,57,425
2022-11-30 18:25,57,428
2022-11-30 21:18,58,437
2022-12-01 01:56,59,448
2022-12-01 03:38,59,448
2022-12-01 06:26,59,449
2022-12-01 09:20,62,456
2022-12-01 12:42,64,471
2022-12-01 15:21,66,474
2022-12-01 18:25,66,475
2022-12-01 21:15,69,482
2022-12-02 01:37,69,489
2022-12-02 03:24,69,489
2022-12-02 06:24,69,492
2022-12-02 09:18,69,506
2022-12-02 12:35,69,513
2022-12-02 15:17,69,514
2022-12-02 18:22,69,514
2022-12-02 21:16,69,518
2022-12-03 01:27,69,526
2022-12-03 03:20,69,526
2022-12-03 06:22,69,533
2022-12-03 09:17,70,549
2022-12-03 12:33,70,551
2022-12-03 15:18,70,552
2022-12-03 18:22,71,558
2022-12-03 21:15,71,584
2022-12-04 01:39,72,592
2022-12-04 03:20,72,592
2022-12-04 06:22,72,592
2022-12-04 09:17,73,596
2022-12-04 12:35,73,607
2022-12-04 15:18,73,616
2022-12-04 18:27,74,620
2022-12-04 21:16,74,626
2022-12-05 01:38,74,670
2022-12-05 03:20,74,670
2022-12-05 06:24,74,670
2022-12-05 09:19,74,699
2022-12-05 12:37,74,718
2022-12-05 15:20,74,729
2022-12-05 18:23,74,735
2022-12-05 21:17,74,743
2022-12-06 01:35,74,770
2022-12-06 03:41,74,770
2022-12-06 06:24,74,772
2022-12-06 09:18,74,776
2022-12-06 12:38,74,784
2022-12-06 15:20,74,795
2022-12-06 18:38,74,804
2022-12-06 21:16,74,806
2022-12-07 01:41,74,818
2022-12-07 03:24,74,818
2022-12-07 09:18,74,827
2022-12-07 12:36,74,837
2022-12-07 15:20,74,851
2022-12-07 18:24,74,862
2022-12-07 21:17,74,872
2022-12-08 01:37,74,880
2022-12-08 03:21,74,880
2022-12-08 06:25,74,881
2022-12-08 09:18,74,908
2022-12-08 12:36,75,928
2022-12-08 15:19,75,936
2022-12-08 18:23,76,947
2022-12-08 21:17,77,955
2022-12-09 01:40,77,956
2022-12-09 03:22,77,956
2022-12-09 06:23,77,959
2022-12-09 09:18,77,980
2022-12-09 12:35,78,986
2022-12-09 15:18,78,998
2022-12-09 18:45,78,1004
2022-12-09 21:17,78,1015
2022-12-10 01:34,78,1037
2022-12-10 03:20,78,1037
2022-12-10 06:23,78,1037
2022-12-10 09:17,78,1043
2022-12-10 12:33,78,1045
2022-12-10 15:18,78,1059
