updated_at,users,statuses
2022-11-04 10:13,846,248975
2022-11-04 13:09,846,249021
2022-11-04 15:25,846,249045
2022-11-04 18:28,847,249076
2022-11-04 21:19,847,249097
2022-11-05 02:03,848,249146
2022-11-05 03:49,849,249168
2022-11-05 06:27,849,249202
2022-11-05 09:21,850,249227
2022-11-05 12:38,850,249261
2022-11-05 15:21,851,249295
2022-11-05 18:26,853,249344
2022-11-05 21:18,854,249370
2022-11-06 02:06,858,249447
2022-11-06 03:50,860,249458
2022-11-06 06:27,861,249479
2022-11-06 09:22,864,249510
2022-11-06 12:40,865,249501
2022-11-06 15:24,871,249539
2022-11-06 18:26,873,249598
2022-11-06 21:19,875,249647
2022-11-07 02:00,875,249722
2022-11-07 04:00,875,249771
2022-11-07 06:28,877,249854
2022-11-07 09:22,880,249914
2022-11-07 12:50,881,249581
2022-11-07 15:24,881,249624
2022-11-07 18:27,884,249714
2022-11-07 21:22,885,249775
2022-11-08 02:00,891,249862
2022-11-08 04:00,892,249891
2022-11-08 06:30,894,249936
2022-11-08 09:23,895,249964
2022-11-08 12:51,896,250048
2022-11-08 15:24,897,249374
2022-11-08 18:32,897,249437
2022-11-08 21:20,899,249484
2022-11-09 02:11,901,249626
2022-11-09 04:03,901,249649
2022-11-09 06:35,901,249685
2022-11-09 09:22,901,249714
2022-11-09 12:52,902,249754
2022-11-09 15:25,902,249832
2022-11-09 18:27,904,249967
2022-11-09 21:23,905,250042
2022-11-10 02:04,907,250138
2022-11-10 03:56,908,250161
2022-11-10 06:28,908,250186
2022-11-10 09:23,908,250219
2022-11-10 12:52,908,250250
2022-11-10 15:23,908,250285
2022-11-10 18:28,908,250337
2022-11-10 21:21,909,250377
2022-11-11 02:04,913,250497
2022-11-11 03:56,913,250521
2022-11-11 06:32,914,250561
2022-11-11 09:22,914,250584
2022-11-11 12:51,916,250625
2022-11-11 15:25,916,250662
2022-11-11 18:29,916,250709
2022-11-11 21:20,916,250766
2022-11-12 01:59,915,247327
2022-11-12 03:54,915,247356
2022-11-12 06:27,915,247403
2022-11-12 09:21,915,247443
2022-11-12 12:39,916,247484
2022-11-12 15:23,916,247539
2022-11-12 18:26,917,247594
2022-11-12 21:19,920,247633
2022-11-13 01:59,921,247711
2022-11-13 03:55,921,247734
2022-11-13 06:27,921,247757
2022-11-13 09:21,921,247802
2022-11-13 12:41,920,247835
