updated_at,users,statuses
2022-11-04 10:13,7,25
2022-11-04 13:09,7,25
2022-11-04 15:25,7,25
2022-11-04 18:28,7,25
2022-11-04 21:19,7,25
2022-11-05 02:03,7,25
2022-11-05 03:49,7,25
2022-11-05 06:27,7,25
2022-11-05 09:21,7,25
2022-11-05 12:38,7,25
2022-11-05 15:21,7,26
2022-11-05 18:26,7,26
2022-11-05 21:18,8,26
2022-11-06 02:06,8,26
2022-11-06 03:50,8,26
2022-11-06 06:27,8,26
2022-11-06 09:22,8,26
2022-11-06 12:40,8,26
2022-11-06 15:24,8,26
2022-11-06 18:26,8,26
2022-11-06 21:19,8,26
2022-11-07 02:00,9,26
2022-11-07 04:00,9,26
2022-11-07 06:28,9,26
2022-11-07 09:22,9,26
2022-11-07 12:50,10,29
2022-11-07 15:24,11,29
2022-11-07 18:27,11,31
2022-11-07 21:22,12,35
2022-11-08 02:00,12,35
2022-11-08 04:00,12,35
2022-11-08 06:30,12,35
2022-11-08 09:23,12,36
2022-11-08 12:51,14,39
2022-11-08 15:24,14,43
2022-11-08 18:32,15,45
2022-11-08 21:20,15,45
2022-11-09 02:11,16,45
2022-11-09 04:03,16,45
2022-11-09 06:35,16,45
2022-11-09 09:22,16,45
2022-11-09 12:52,16,50
2022-11-09 15:25,16,55
2022-11-09 18:27,16,55
2022-11-09 21:23,16,56
2022-11-10 02:04,16,56
2022-11-10 03:56,16,56
2022-11-10 06:28,16,56
2022-11-10 09:23,16,58
2022-11-10 12:52,16,59
2022-11-10 15:23,16,61
2022-11-10 18:28,16,63
2022-11-10 21:21,16,64
2022-11-11 02:04,16,64
2022-11-11 03:56,16,64
2022-11-11 06:32,16,64
2022-11-11 09:22,17,64
2022-11-11 12:51,18,70
2022-11-11 15:25,18,70
2022-11-11 18:29,18,71
2022-11-11 21:20,18,71
2022-11-12 01:59,18,71
2022-11-12 03:54,18,71
2022-11-12 06:27,18,71
2022-11-12 09:21,19,71
2022-11-12 12:39,19,72
2022-11-12 15:23,20,75
2022-11-12 18:26,20,80
2022-11-12 21:19,20,83
2022-11-13 01:59,20,83
2022-11-13 03:55,20,83
2022-11-13 06:27,20,83
2022-11-13 09:21,20,83
2022-11-13 12:41,20,85
2022-11-13 15:22,20,87
2022-11-13 18:26,20,89
2022-11-13 21:19,21,90
2022-11-14 01:58,21,91
2022-11-14 03:58,21,91
2022-11-14 06:29,21,91
2022-11-14 09:23,21,93
2022-11-14 12:53,22,95
2022-11-14 15:25,23,95
2022-11-14 18:27,24,99
2022-11-14 21:21,24,105
2022-11-15 01:56,24,105
2022-11-15 03:47,24,105
2022-11-15 06:26,24,105
2022-11-15 09:21,24,107
2022-11-15 12:44,24,115
2022-11-15 15:23,25,119
2022-11-15 18:27,26,122
2022-11-15 21:19,27,126
2022-11-16 01:57,27,128
2022-11-16 03:48,27,128
2022-11-16 06:26,27,128
2022-11-16 09:21,27,135
2022-11-16 12:43,27,140
2022-11-16 15:22,28,146
2022-11-16 18:26,28,156
2022-11-16 21:18,28,160
2022-11-17 01:56,28,163
2022-11-17 03:43,28,163
2022-11-17 06:27,28,164
2022-11-17 09:21,28,165
2022-11-17 12:45,28,171
2022-11-17 15:22,28,179
2022-11-17 18:26,29,185
2022-11-17 21:18,29,190
2022-11-18 02:01,30,192
2022-11-18 03:43,30,192
2022-11-18 06:27,31,192
2022-11-18 09:21,31,194
2022-11-18 12:40,34,199
2022-11-18 15:22,35,207
2022-11-18 18:28,37,211
2022-11-18 21:18,39,220
2022-11-19 01:53,41,225
2022-11-19 03:41,41,225
2022-11-19 06:26,41,226
2022-11-19 09:19,41,228
2022-11-19 12:37,42,234
2022-11-19 15:21,43,240
2022-11-19 18:25,43,247
2022-11-19 21:18,45,255
2022-11-20 02:01,45,263
2022-11-20 03:46,45,263
2022-11-20 06:26,45,263
2022-11-20 09:19,45,269
2022-11-20 12:38,49,278
2022-11-20 15:20,50,283
2022-11-20 18:25,50,288
2022-11-20 21:18,50,295
2022-11-21 01:57,50,303
2022-11-21 07:13,50,304
2022-11-21 09:22,51,315
2022-11-21 13:51,51,335
2022-11-21 15:23,52,336
2022-11-21 18:27,54,363
2022-11-21 21:21,55,380
2022-11-22 01:59,56,389
2022-11-22 03:40,56,389
2022-11-22 06:27,56,390
2022-11-22 09:21,56,395
2022-11-22 12:43,60,413
2022-11-22 15:23,61,425
2022-11-22 18:26,61,432
2022-11-22 21:17,61,456
2022-11-23 01:46,61,470
2022-11-23 03:34,61,470
2022-11-23 06:25,61,473
2022-11-23 09:19,61,498
2022-11-23 12:40,63,521
2022-11-23 15:21,63,541
2022-11-23 18:24,63,561
2022-11-23 21:17,65,576
2022-11-24 01:49,66,587
2022-11-24 03:29,66,587
2022-11-24 06:25,66,589
2022-11-24 09:19,66,600
2022-11-24 12:40,66,623
2022-11-24 15:20,68,629
2022-11-24 18:25,69,667
2022-11-24 21:17,69,682
2022-11-25 01:46,69,701
2022-11-25 03:37,69,702
2022-11-25 06:26,69,702
2022-11-25 09:19,69,733
2022-11-25 12:39,70,759
2022-11-25 15:20,70,777
2022-11-25 18:25,70,782
2022-11-25 21:17,70,805
2022-11-26 01:41,70,823
2022-11-26 03:26,71,823
2022-11-26 06:24,71,833
2022-11-26 09:18,71,848
2022-11-26 12:35,71,886
2022-11-26 15:19,71,912
2022-11-26 18:23,71,921
2022-11-26 21:17,71,927
2022-11-27 01:51,71,941
2022-11-27 03:40,71,941
2022-11-27 06:24,71,942
2022-11-27 09:18,71,961
2022-11-27 12:35,72,987
2022-11-27 15:19,72,995
2022-11-27 18:23,72,1000
2022-11-27 21:17,72,1016
2022-11-28 01:44,72,1021
2022-11-28 03:31,73,1021
2022-11-28 06:26,73,1021
2022-11-28 09:20,73,1032
2022-11-28 12:38,73,1051
2022-11-28 15:18,74,1063
2022-11-28 18:25,74,1088
2022-11-28 21:18,75,1093
2022-11-29 01:44,76,1099
2022-11-29 03:30,76,1099
2022-11-29 06:26,76,1104
2022-11-29 09:19,76,1116
2022-11-29 12:39,74,1123
2022-11-29 15:21,74,1131
2022-11-29 18:23,74,1139
2022-11-29 21:18,75,1145
2022-11-30 01:45,75,1176
2022-11-30 03:27,76,1176
2022-11-30 06:25,76,1182
2022-11-30 09:20,77,1206
2022-11-30 12:41,77,1221
2022-11-30 15:22,77,1233
2022-11-30 18:25,78,1238
2022-11-30 21:18,78,1249
2022-12-01 01:56,79,1271
2022-12-01 03:38,79,1271
2022-12-01 06:26,79,1274
2022-12-01 09:20,79,1295
2022-12-01 12:42,79,1312
2022-12-01 15:21,80,1319
2022-12-01 18:25,80,1330
2022-12-01 21:15,80,1336
