updated_at,users,statuses
2022-12-06 01:35,1,128
2022-12-06 03:41,1,128
2022-12-06 06:24,1,135
2022-12-06 09:18,1,136
2022-12-06 12:38,1,137
2022-12-06 15:20,1,137
2022-12-06 18:38,1,137
2022-12-06 21:16,1,137
2022-12-07 01:41,1,140
2022-12-07 03:24,1,144
2022-12-07 09:18,1,160
2022-12-07 12:36,1,160
2022-12-07 15:20,1,168
2022-12-07 18:24,1,173
2022-12-07 21:17,1,173
2022-12-08 01:37,1,175
2022-12-08 09:18,1,181
2022-12-08 12:36,1,182
2022-12-08 15:19,1,183
2022-12-08 18:23,1,183
2022-12-08 21:17,1,183
2022-12-09 01:40,1,183
2022-12-09 03:22,1,184
2022-12-09 06:23,1,197
2022-12-09 09:18,1,202
2022-12-09 12:35,1,202
2022-12-09 15:18,1,202
2022-12-09 18:45,1,202
2022-12-09 21:17,1,202
2022-12-10 01:34,1,202
2022-12-10 03:20,1,205
2022-12-10 06:23,1,209
2022-12-10 09:17,1,209
2022-12-10 12:33,1,213
2022-12-10 15:18,1,213
2022-12-10 18:22,1,213
2022-12-10 21:31,1,213
2022-12-11 01:44,1,213
2022-12-11 03:24,1,213
2022-12-11 06:23,1,213
2022-12-11 09:17,1,213
2022-12-11 12:34,1,118
2022-12-11 15:19,1,213
2022-12-11 19:14,1,213
2022-12-11 21:16,1,213
2022-12-12 01:40,1,213
2022-12-12 03:24,1,213
2022-12-12 06:24,1,213
2022-12-12 09:19,1,213
2022-12-13 01:43,1,3
2022-12-13 03:27,1,3
2022-12-13 06:25,1,6
2022-12-13 09:19,1,9
2022-12-13 12:37,1,12
2022-12-13 18:23,1,13
2022-12-13 21:17,1,13
2022-12-14 01:40,1,13
2022-12-14 03:23,1,13
2022-12-14 06:24,1,13
2022-12-14 09:18,1,13
2022-12-14 12:37,1,13
2022-12-14 15:20,1,13
2022-12-14 18:23,1,13
2022-12-14 21:17,1,14
2022-12-15 01:41,1,14
2022-12-15 03:24,1,14
2022-12-15 06:24,1,14
2022-12-15 09:19,1,14
2022-12-15 12:36,1,14
2022-12-15 15:20,1,14
2022-12-15 18:21,1,14
