name,users,statuses,6,12,24,72
mastodon.social,846807.0,41852011.0,2878.0,7320.0,10829.0,12093.0
pawoo.net,773765.0,67325632.0,429.0,429.0,429.0,1166.0
mstdn.jp,269900.0,61924431.0,151.0,197.0,413.0,16209.0
mastodon.cloud,226112.0,4529745.0,28.0,77.0,204.0,647.0
mastodon.online,164644.0,2428631.0,1.0,-11.0,-18.0,-36.0
mas.to,112404.0,1586747.0,138.0,291.0,589.0,3362.0
pixelfed.social,63660.0,435487.0,0.0,0.0,0.0,1631.0
c.im,56732.0,380208.0,120.0,544.0,567.0,780.0
mastodon.lol,46340.0,443299.0,243.0,546.0,1172.0,4702.0
fosstodon.org,43991.0,1217423.0,43.0,131.0,281.0,1012.0
mastodon.top,42799.0,342360.0,0.0,-3.0,-10.0,-41.0
mastodon.uno,42445.0,500089.0,54.0,129.0,337.0,1346.0
mastodonapp.uk,39801.0,214584.0,100.0,275.0,621.0,1359.0
mamot.fr,38569.0,5932268.0,0.0,0.0,-3.0,-7.0
m.cmx.im,31237.0,3085561.0,34.0,52.0,208.0,525.0
mastodon.world,29672.0,137676.0,255.0,602.0,1293.0,5443.0
alive.bar,27642.0,3049997.0,0.0,7.0,21.0,52.0
poa.st,26849.0,3691325.0,7.0,10.0,15.0,55.0
masthead.social,25850.0,428651.0,15.0,39.0,79.0,289.0
infosec.exchange,24694.0,268950.0,118.0,286.0,545.0,2178.0
qoto.org,24395.0,886058.0,17.0,33.0,83.0,388.0
troet.cafe,23974.0,754031.0,33.0,175.0,363.0,1317.0
mastodon.xyz,23863.0,1749648.0,0.0,0.0,-1.0,8.0
mastodon.technology,23614.0,1292037.0,-2.0,-8.0,-13.0,-25.0
sfba.social,22821.0,88280.0,62.0,152.0,276.0,849.0
mstdn.party,20048.0,86431.0,51.0,109.0,193.0,1314.0
wxw.moe,19922.0,5330335.0,8.0,6.0,37.0,78.0
mastodon.scot,19267.0,260405.0,67.0,107.0,184.0,694.0
mindly.social,19081.0,73722.0,190.0,427.0,892.0,4031.0
social.tchncs.de,18959.0,1697929.0,8.0,17.0,30.0,120.0
ohai.social,18893.0,42983.0,30.0,92.0,180.0,1037.0
home.social,18672.0,46864.0,33.0,60.0,117.0,674.0
mastodon.nl,18518.0,146616.0,19.0,81.0,182.0,815.0
toot.community,17849.0,131749.0,69.0,167.0,315.0,1614.0
mastodon.bida.im,17569.0,784072.0,9.0,15.0,40.0,146.0
mstdn.io,16779.0,2519700.0,-92.0,-129.0,-212.0,-614.0
m.rthome.me,16561.0,629.0,2.0,3.0,9.0,54.0
abdl.link,15953.0,270851.0,6.0,13.0,16.0,47.0
